App,评分,日期,差评原文
=== EA Auto Language Translate (4 reviews) ===
EA Auto Language Translate,2star,2026年3月29日,Emorelle 埃及 9个月 人在使用应用 EasyApps
EA Auto Language Translate,2star,2026年8月6日,"Hi, sorry to hear you had a bad experience. How can we make it better?"
EA Auto Language Translate,3star,2026年5月17日,it would be nice if it showed what country the languages are for. Family Gadget Store 美国 2天 人在使用应用 EasyApps
EA Auto Language Translate,3star,2026年7月13日,"Hi, Thanks for leaving this feedback, we have added this feature now!"

=== GTranslate (44 reviews) ===
GTranslate,1star,2026年6月29日,"Don't install if you are not willing to pay for their paid version, lots of restrictions, you cannot edit,you cant even create a account on their website. Translations are not 100% correct,if anything wrong you will have to pay first & then only you can edit it. This app is not worth paying 12 dolla"
GTranslate,1star,2025年3月20日,"Very junk plugin, not recommended. When you uninstall this plugin, it will hog your second-level domain name, showing that you did not pay. The links to the website we made before are not displayed properly. This is an act that damages the seller's interests. INNOCN 香港特别行政区 2年多 人在使用应用"
GTranslate,1star,2022年11月15日,"shit app, show ""402 Payment Required?"" shit app, show ""402 Payment Required?"" shit app, show ""402 Payment Required?"" Shengmilo® Official Website 中国 11个月 人在使用应用"
GTranslate,1star,2025年11月10日,Using this app from 1.8 years when the traffic increase to 13k they told me to upgrade server to 10k$ monthly package. Now our traffic generate 3 to 5k$ in sale through g translator and average profit is 600 to 800$. How can we afford 10k$ monthly server. PEAK SURGICALS 巴基斯坦 接近2年 人在使用应用
GTranslate,1star,2024年11月18日,"I asked to hide the language selector and my website, the answered the only way was to upgrade the plan. That was false since it was simply needed to add a custom line of CSS. Do not trust them, just trying to make you pay Alienation 塞浦路斯 4年多 人在使用应用"
GTranslate,1star,2024年3月5日,"La aplicación tiene muchos errores. Las tallas de S, M y L se traducen mal. Y las pantallas de pago (que es lo mas importante) no se traducen elixirclothes.com 西班牙 29天 人在使用应用"
GTranslate,1star,2023年11月22日,"It literally ruined my entire code and showed: ""translations missing"" all over the website. It was hell. This during black friday. Their support team just asked me to uninstall the app, I told them it made things worse, that I reinstalled it to address this issue. But they ignored. Me. Stay away fro"
GTranslate,1star,2024年12月12日,"bad CS, and they charged me without notify me, and I don't need the paid plan , and i was charged 19.99 and get nothing Evridwearcustom 美国 大约1个月 人在使用应用 编辑时间："
GTranslate,1star,2023年11月28日,Horrible service from MILENA. The app doesnt allow us to translate slideshow and 1 hour of fighting she says we can do it ourself instead of helping like her other colleagues do normally. Such a pain to have to fight and loose so much time Les Tissées 加拿大 大约3年 人在使用应用
GTranslate,1star,2022年3月13日,"Been using the app for a few months, there's a lot of bugs in this program, all the number in my site will turn into XNUMX , I've contacted the CS a few times , and sadly this problem cannot be fixed. The cs also mentioned that ""We know about this issue and it's in our roadmap to change the translat"
GTranslate,1star,2019年1月23日,"I tried to unistall this app, but could not. Even after deleting the app, the drop down still shows on the website. This is junk . Forsaken Motorsports 加拿大 8分钟 人在使用应用"
GTranslate,1star,2022年2月3日,"Customer service amazing before buying the app. Later when we changed the theme and need them the most to have a perfect website launch, we are waiting 6 days (and counting...) without a solution for our website. Simple task to transfer the customization from the old theme to the new one. Unbelievab"
GTranslate,1star,2020年12月6日,This is the worst translate app I have ever installed! Really hard to edit translations. Not user friendly dashboard. Mah Roc 土耳其 6天 人在使用应用
GTranslate,1star,2020年2月24日,"I don't recommend this app. Very very difficult to use, very expensive, don't work. A lot of bugs, bad user experience. Sampedrano S.A. 西班牙 25分钟 人在使用应用 编辑时间："
GTranslate,1star,2020年3月10日,"Horrible support with horrible translations for a paid app ($17.99 a month). I speak 3 languages and my wife 4, none of the languages that we finally!!! got the app to translate were even close to being acceptable. Google translate does better than this. In top of that, you have to go through a lot "
GTranslate,1star,2020年4月2日,"After months with this application ... my verdict is: ineffective service WITH HUGE ERRORS You can find that your website shows the word ""SEXTOYS"" and you don't realize it until a relative of yours tells you ... (and no, there are no sexual content products on the website) I've been with this applic"
GTranslate,1star,2020年9月10日,"I don't recommend this app. A lot of bugs, bad user experience. After we spent 2 days fixing the auto translation (which was super bad), the edits weren't saved.. Very bad customer support specially Ella and Angela. Queuecaps 卡塔尔 6天 人在使用应用 编辑时间："
GTranslate,1star,2022年6月30日,"UPDATE 4.0: There are always random parts which arent being translated by the app. Really annoying. You have to check every custom domain page by page. Also the app doesnt work with Shopify Markets UPDATE 3.0: Awesome app with initial, prolonged issues. Were just getting started to really use the ap"
GTranslate,1star,2021年3月1日,I wouldn't recommend this app for website translation solution We moved from WEGLOT to GTranslate for a more cost effective solution. The support at GTranslate haven't helped get either of our 2 sites over the line. Lots of Canonical issues & Href issues causing errors in search console. Their techn
GTranslate,1star,2021年1月7日,I tried this app FREE version and it doesn't work. The translation is completely wrong. SO it's not a free app because it works only if you pay. BYE! I said FREE version doesn't WORK. A customer can't choose this app because it's free ... it doesn't work. I trust you if a costumer pay it could work.
GTranslate,1star,2022年11月14日,"I am trying to setup the app, but find it difficult. I dont know if I shall copy and paste the code in the text box or copy and paste {% include 'gtranslate' %} this only. Sesni Mart 英国 11分钟 人在使用应用 编辑时间："
GTranslate,1star,2020年5月4日,"I really have no idea how they get to 5 stars. The auto translation is convenient but then not everything can be translated. If you use other Shopify apps like a countdown timer or pop ups, they won't translate it. You can request their developer to program it for you, which is what I did. After 2,5"
GTranslate,1star,2020年4月14日,"L'ho installata ma non traduce, traduce solo alcune parole e pure male. Peccato perchè ne parlavamo bene dai commenti Extravergine 意大利 9分钟 人在使用应用"
GTranslate,1star,2022年3月9日,"I installed the free version, unfortunately it did not work. Tested it in 3 browsers. Uninstalled the app again. Too bad. Etana Staubsaugerbeutel 德国 11分钟 人在使用应用"
